"";"Group.1";"taux_CHOM1564_POP1564";"P20_CHOM1564";"P20_POP1564";"euclidean_distance";"euclidean_distance_centroid";"VAL";"NBFLUX_C19_ACTOCC15P"
"901";"91613";8,31836465105254;113,270485947083;1304,13611736977;8355,71602727088;55935,5347819674;366,24;49,4690857520418
"902";"91617";8,15233082608714;1680,36014535819;18418,9610502627;20604,0676660336;28193,0319134752;12649,16;1711,04384755225
"903";"91619";7,90700544986957;1153,59831783892;16311,6576279812;19266,9046806016;19982,5367006634;222,4;15,4430954324265
"904";"91629";7,00431493816299;665,066489235912;5903,75001975211;5834,5677042616;49908,0524148049;136,75;66,9583885349474
"905";"91630";6,67346808029408;655,721301628435;8847,63218197724;10672,2605432593;36224,5109266975;940,55;174,126000076886
"906";"91631";7,83101706770051;1547,88200302167;17439,1847098148;16559,8585739548;26818,4795601892;4989,25;692,882625073646
"907";"91634";6,6208585209558;385,267516641214;4455,17231940616;7923,67837740104;32346,5075173173;1034,46;159,461289489828
"908";"91635";8,86702672041506;2151,98009397617;20752,4611530233;12904,0174108594;17669,3233001875;1093,94;190,295868273356
"909";"91639";7,30344590267952;1012,20458624171;10912,5577261806;17517,325298303;37230,6239595224;1093,33;147,290128089082
"910";"91645";8,11410228606116;2136,75066567005;23172,8200797561;18573,0704840923;20251,4956772742;18279,38;3464,15586839804
"911";"91648";7,64763418874116;1062,03042144754;11631,6603753005;17114,3686122266;30937,5112067965;11564,46;1064,02927868523
"912";"91649";7,53114228366498;1486,40778332908;17029,5800528587;18166,7729456297;26545,2004734236;9842,27;901,490479741002
"913";"91654";6,14968674231924;904,779707402004;12139,067668871;13890,4784069314;40013,2980470852;1032,78;83,532821794399
"914";"91657";8,66560010347914;2243,96972687706;23817,9568158406;17269,9723618103;21170,5261414137;11999,57;4096,12836508424
"915";"91659";7,90314177855089;1275,18756928631;13612,5779962008;21124,6386957412;29713,2437798046;16746,16;2723,8781324023
"916";"91661";7,77875889296877;1612,07031006288;17632,0761988327;23392,8792512504;25223,6879528493;36544,28;7223,20699378988
"917";"91662";7,42601630676163;785,269013871081;7497,50697780046;10903,5243760677;37406,7082571868;579,92;48,6638204006149
"918";"91665";7,76333503972841;1387,30115687477;14889,6693548887;17027,30217693;25774,2306355742;10527,94;2014,4621896094
"919";"91666";7,7058973668413;1726,80061260008;19650,8729783373;18672,9893322874;23562,1063048037;13097,57;1251,04037092356
"920";"91667";8,63224109184482;2061,43945724155;21393,4487997591;13718,9018592274;21752,6892568775;5122,78;1065,73093365716
"921";"91671";8,79779572823374;865,614568037019;8106,36841957829;16131,6378541907;36713,8822302258;797,9;79,1221640796005
"922";"91679";7,53065800005755;2146,93372066676;25454,348789088;15193,6553542818;18386,2700431258;4525,37;345,768832211594
"923";"91685";7,70108568336189;1404,36524137766;15518,7166598261;12649,2416725527;25008,8317123468;5583,39;798,064946701205
"924";"91687";8,01451181397301;1675,957473354;18175,9065382009;23617,9882060631;25759,4339322499;29188,66;8033,12529844188
"925";"91689";8,14936709049407;1678,80874185912;18049,0512280121;22863,6282339686;24660,1270019766;37047,05;8462,15153949783
"926";"91691";8,52539169430446;2154,47112528055;22924,2009972082;17092,6710081348;21661,2603791564;13090,52;4780,01322399448
"927";"91692";7,6739386711474;1424,2778023946;15632,5095077209;25968,3622364152;26513,3973305591;44609,03;14564,9507061667
"928";"92002";8,06101365104185;1543,99814525423;16676,3954970201;23596,4680820466;24366,3447641323;41253,34;21623,5787597579
"929";"92004";8,38386749040441;1710,20895134316;18382,7750732603;23247,5728568535;22698,6952132302;32046,52;21960,8311600466
"930";"92007";8,48858710750822;1828,53798048865;19553,4263271302;21793,5782246371;21991,5852171029;32347,57;10956,6203095914
"931";"92009";8,4564934861124;1807,1845194433;19436,4261880242;21418,8404566719;20768,8046997011;28435,41;11714,3059326689
"932";"92012";7,6570575062906;1105,60038721744;12090,5750492976;28563,8992679347;28659,9858773143;64144,5;85170,9204386727
"933";"92014";8,69397906818818;2352,39694905607;25196,425191212;17425,2808388001;17693,299595066;16661,53;5200,4438250015
"934";"92019";8,32136604512792;2139,63507124421;23568,909997175;17878,5972573533;18461,4715014539;20321,64;7541,05833893956
"935";"92020";8,39500950190737;1744,14425151088;18807,7506261441;21977,9365256599;22170,0391823824;35152,87;14164,7520665255
"936";"92022";8,35902020389048;2501,68704461094;27068,827940346;17440,4854685697;17758,4038959754;11895,18;3580,80505593408
"937";"92023";8,21596848967237;1697,28984892576;18287,9905940644;22659,5275902483;23040,7248828016;36626,32;18116,6583283455
"938";"92024";8,13798129141752;1379,2984602421;14900,7548609367;26774,0698407214;26363,6990920004;44650,5;34511,1609853644
"939";"92025";8,0302084939516;1422,45610090274;15390,2449887409;24575,9845834578;24457,6739793585;42769,4;30310,1136087923
"940";"92026";7,59174647779702;998,19075115707;10933,7323816363;30885,1192488972;30257,1243561208;70047,33;94177,3471870803
"941";"92032";8,46823025989914;2196,96587256512;23659,2554410388;18534,5419579479;19321,202543293;20827,26;6826,67611724822
"942";"92033";8,36379614118262;2173,36947724148;23315,9592038862;18880,1597262603;20440,6288434134;19009,97;5248,65527612601
"943";"92035";8,57440549610724;1874,94275306376;20099,3124617441;21301,6820134195;20681,7851663547;28029,13;10687,8307239511
"944";"92036";8,00135765326558;1288,18464418878;13948,4735679401;26990,8844798096;26151,4451375829;50947,49;39433,6537167881
"945";"92040";7,85087036136187;1239,34457523961;13499,8972757446;26863,3199702294;27137,9036027648;55033,04;50308,2238955553
"946";"92044";7,87120982575459;1215,23501278746;13230,0987490171;28432,199418757;27762,8519573383;51632,23;56372,86937259
"947";"92046";8,25107071495277;1658,66521783041;17922,8813993909;23000,0441399509;23183,4584105646;34526,29;14722,4064954676
"948";"92047";7,76209105484158;2434,84709156919;28051,7667197391;16056,1013060027;18387,5313401791;9073,76;943,804017632299
"949";"92048";8,09196732218455;1648,24576893498;17847,0605393802;22024,5649560893;22373,6713487112;33901,96;16585,9991434033
